Name, Description, Authors, Repository, Homepage, Documentation, Download Page, Coding Language, License, Operating System, Pricing Model
afmformats, Python library for reading common AFM file formats, Paul Müller, https://github.com/AFM-analysis/afmformats, , https://afmformats.readthedocs.io, https://pypi.org/project/afmformats, Python, MIT, Windows macOS Linux, 
Gwyddion, , David Nečas and Petr Klapetek, https://sourceforge.net/projects/gwyddion/, http://gwyddion.net/, http://gwyddion.net/documentation/, http://gwyddion.net/download.php, C, GPL, Windows Linux macOS, 
nanite, Fitting and machine-learning based rating of AFM force-indentation data, Paul Müller, https://github.com/AFM-analysis/nanite, , https://nanite.readthedocs.io, https://pypi.org/project/nanite, Python, GPL, Windows macOS Linux, 
PyJibe, GUI for AFM data analysis with an emphasis on biological specimens, Paul Müller, https://github.com/AFM-analysis/PyJibe, , https://pyjibe.readthedocs.io, https://github.com/AFM-analysis/PyJibe/releases, Python, GPL, Windows Linux macOS, 
TopoStats, , TopoStats Developers, https://github.com/AFM-SPM/TopoStats, , , , Python, LGPL, Windows Linux macOS, 
